state,votes,electoral_vote
Delaware,490935,0
Georgia,4945581,0
Idaho,858780,0
Illinois,5463299,0
Iowa,1669433,0
Kansas,1330492,0
Kentucky,2134725,0
Louisiana,2071543,0
Maine,761847,0
Massachusetts,3342207,0
Michigan,5462906,0
Minnesota,3214930,0
Mississippi,1153803,0
Montana,602732,0
Nebraska,893109,0
New Hampshire,792650,0
New Jersey,3830465,0
New Mexico,914262,0
North Carolina,5425745,0
Oklahoma,1556361,0
Oregon,2296492,0
Rhode Island,492083,0
South Carolina,2513005,0
South Dakota,420448,0
Tennessee,2941711,0
Texas,11081312,0
Virginia,4382152,0
West Virginia,774401,0
Wyoming,270681,0
Alabama,2303212,0
Arizona,3318556,0
Arkansas,1184155,0
Colorado,3191838,0
Alaska,240420,0
